ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
2353	FOS	6.9576	0
2109	ETFB	2.1976	0.0046
2958	GTF2A2	1.9658	0.0049
80212	CCDC92	2.0236	0.0064
53343	NUDT9	1.8388	0.0076
51170	HSD17B11	1.8211	0.0087
4792	NFKBIA	1.6282	0.009
1738	DLD	1.5234	0.0119
1398	CRK	1.5609	0.0127
2115	ETV1	1.4565	0.0143
27109	ATP5S	1.6588	0.015
5092	PCBD1	1.3857	0.0153
5236	PGM1	1.3746	0.0176
7105	TSPAN6	1.3354	0.0182
5111	PCNA	1.3087	0.019
7538	ZFP36	1.6036	0.0201
6009	RHEB	1.3876	0.0202
6390	SDHB	1.2852	0.0233
10857	PGRMC1	1.2141	0.0235
1429	CRYZ	1.2095	0.0242
6856	SYPL1	1.4205	0.0242
10329	TMEM5	1.2159	0.0246
10845	CLPX	3.2484	0.0249
3108	HLA-DMA	1.1814	0.0256
2908	NR3C1	1.3724	0.0261
1891	ECH1	1.2441	0.0261
8312	AXIN1	1.1658	0.0268
51466	EVL	1.3902	0.0269
55111	PLEKHJ1	1.5066	0.0273
10915	TCERG1	1.2086	0.0283
11072	DUSP14	1.1692	0.0288
5720	PSME1	1.2486	0.0291
332	BIRC5	1.188	0.0292
10972	TMED10	1.2293	0.0295
8726	EED	1.3556	0.0296
9276	COPB2	1.1434	0.03
11098	PRSS23	1.2066	0.0301
6908	TBP	1.17	0.0332
11319	ECD	1.2209	0.0339
5050	PAFAH1B3	1.0768	0.0345
3280	HES1	1.0678	0.0352
2778	GNAS	1.1049	0.0353
10112	KIF20A	1.176	0.0375
7319	UBE2A	1.0534	0.0378
7027	TFDP1	1.0378	0.0384
1022	CDK7	1.0724	0.0386
84159	ARID5B	1.2123	0.0414
8518	IKBKAP	1.1647	0.0427
1983	EIF5	0.99	0.0441
310	ANXA7	1.0498	0.0442
22926	ATF6	1.0027	0.0445
8678	BECN1	1.022	0.0447
8804	CREG1	1.0181	0.0458
2553	GABPB1	3.2681	0.0466
9488	PIGB	1.2458	0.0481
58478	ENOPH1	0.9658	0.0481
481	ATP1B1	0.9846	0.0492
23061	TBC1D9B	0.9499	0.0497
4331	MNAT1	0.9414	0.0516
10730	YME1L1	0.9267	0.0535
5357	PLS1	0.9522	0.0537
4208	MEF2C	1.032	0.053900000000000003
10227	MFSD10	0.9223	0.0542
26520	TIMM9	0.956	0.0545
2745	GLRX	0.9322	0.0576
55699	IARS2	1.1412	0.0579
5997	RGS2	2.3607	0.0581
23039	XPO7	0.8905	0.0601
6342	SCP2	1.268	0.0601
9695	EDEM1	0.8982	0.0607
10434	LYPLA1	0.8842	0.0623
8573	CASK	0.885	0.0625
1452	CSNK1A1	1.1005	0.063
1021	CDK6	0.9192	0.0641
1635	DCTD	0.8632	0.0649
57215	THAP11	0.9555	0.0649
10557	RPP38	0.8668	0.066
23530	NNT	0.8826	0.0669
3329	HSPD1	0.8555	0.067
51635	DHRS7	0.8812	0.0674
10668	CGRRF1	0.8898	0.0681
10892	MALT1	0.8662	0.0682
890	CCNA2	1.0813	0.0693
11014	KDELR2	0.8768	0.0695
154	ADRB2	1.1384	0.0704
1017	CDK2	0.8654	0.0714
4780	NFE2L2	0.8938	0.0715
3895	KTN1	1.1599	0.0738
993	CDC25A	1.1282	0.0754
4582	MUC1	0.8576	0.0775
5427	POLE2	4.3318	0.0787
9217	VAPB	1.4135	0.0787
9833	MELK	0.9416	0.0791
5827	PXMP2	1.3953	0.0908
3157	HMGCS1	1.0832	0.0909
2042	EPHA3	3.105	0.0922
8050	PDHX	0.9382	0.0923
6714	SRC	1.9285	0.0931
2065	ERBB3	0.8542	0.0947
7099	TLR4	1.3501	0.0952
6676	SPAG4	0.9505	0.0996
1994	ELAVL1	0.9638	0.1063
10046	MAMLD1	1.1079	0.1064
9143	SYNGR3	5.0568	0.109
9805	SCRN1	4.6534	0.113
22934	RPIA	0.8828	0.1251
25874	MPC2	0.9834	0.1323
2037	EPB41L2	0.8942	0.1398
23635	SSBP2	3.1292	0.1401
79006	METRN	2.9293	0.1411
9709	HERPUD1	1.0907	0.1524
5467	PPARD	4.4049	0.1885
10320	IKZF1	3.1214	0.1961
57192	MCOLN1	4.2877	0.2056
9924	PAN2	1.5412	0.2066
10695	CNPY3	2.6132	0.209
10153	CEBPZ	1.0133	0.2167
10525	HYOU1	1.397	0.2237
29083	GTPBP8	0.8686	0.2407
26001	RNF167	1.1766	0.2446
55008	HERC6	3.9716	0.2557
6804	STX1A	1.1312	0.2585
9126	SMC3	1.1853	0.3119
55620	STAP2	1.0923	0.4513
8878	SQSTM1	-2.3467	0.0029
8503	PIK3R3	-1.7546	0.0067
4850	CNOT4	-1.5567	0.0105
4088	SMAD3	-1.5104	0.012
5900	RALGDS	-2.5556	0.0136
4638	MYLK	-1.47	0.0144
4851	NOTCH1	-1.44	0.0145
5331	PLCB3	-1.3173	0.0216
672	BRCA1	-1.4892	0.0223
51160	VPS28	-1.2353	0.0224
54438	GFOD1	-1.343	0.0246
51335	NGRN	-1.2158	0.028
79080	CCDC86	-2.2294	0.0288
9181	ARHGEF2	-1.1712	0.0288
1027	CDKN1B	-2.3845	0.0298
4794	NFKBIE	-1.1953	0.0299
10150	MBNL2	-1.2887	0.031
55825	PECR	-1.1484	0.0315
23139	MAST2	-1.1722	0.0324
2810	SFN	-1.3765	0.0327
56940	DUSP22	-1.1688	0.033
11284	PNKP	-1.1159	0.0349
2548	GAA	-1.0743	0.0354
323	APBB2	-1.0864	0.0354
29082	CHMP4A	-1.0589	0.0361
4791	NFKB2	-1.1032	0.0362
63933	MCUR1	-1.9494	0.0373
29911	HOOK2	-1.2572	0.0373
7358	UGDH	-1.0532	0.0378
695	BTK	-1.0936	0.0381
8553	BHLHE40	-1.0525	0.0421
8727	CTNNAL1	-1.0065	0.0427
7106	TSPAN4	-1.13	0.0439
81533	ITFG1	-1.0221	0.0439
22809	ATF5	-0.987	0.0445
6850	SYK	-1.0322	0.0446
7168	TPM1	-2.0112	0.0457
5927	KDM5A	-1.0116	0.0474
56997	ADCK3	-1.0486	0.0477
5891	MOK	-0.9672	0.0478
64781	CERK	-1.0135	0.0495
54807	ZNF586	-2.8763	0.0496
329	BIRC2	-3.9994	0.0506
22887	FOXJ3	-0.946	0.0521
991	CDC20	-1.0738	0.0526
226	ALDOA	-1.1892	0.0538
54541	DDIT4	-0.9444	0.0551
2817	GPC1	-0.9314	0.0553
79600	TCTN1	-0.9475	0.0565
8821	INPP4B	-0.906	0.0583
6461	SHB	-1.4836	0.0601
54386	TERF2IP	-0.9726	0.0612
23271	CAMSAP2	-1.0682	0.0614
3480	IGF1R	-0.8708	0.0634
868	CBLB	-0.8933	0.065
29978	UBQLN2	-0.865	0.065
23597	ACOT9	-0.9018	0.0653
9455	HOMER2	-0.9948	0.0655
6304	SATB1	-1.0175	0.0656
5603	MAPK13	-0.9642	0.0658
9124	PDLIM1	-2.1195	0.0679
9112	MTA1	-0.9106	0.0693
2887	GRB10	-0.949	0.0695
81544	GDPD5	-1.0314	0.0718
23365	ARHGEF12	-0.9478	0.0729
11011	TLK2	-0.9775	0.0751
10641	NPRL2	-1.0919	0.0751
23149	FCHO1	-0.9677	0.0755
8574	AKR7A2	-1.147	0.0784
11073	TOPBP1	-0.8894	0.0799
1454	CSNK1E	-0.8844	0.08
9016	SLC25A14	-1.1622	0.0841
22883	CLSTN1	-1.0819	0.0843
10190	TXNDC9	-4.1163	0.0845
1831	TSC22D3	-0.891	0.0882
63874	ABHD4	-2.4906	0.0887
5154	PDGFA	-1.0032	0.0894
25793	FBXO7	-0.9412	0.0897
6832	SUPV3L1	-2.0385	0.0942
10165	SLC25A13	-1.7481	0.0954
51070	NOSIP	-1.1484	0.1142
1845	DUSP3	-2.8098	0.1181
26292	MYCBP	-0.9254	0.119
22905	EPN2	-0.8882	0.1192
3566	IL4R	-0.8535	0.1196
5211	PFKL	-0.9653	0.1274
2771	GNAI2	-1.3027	0.132
51293	CD320	-1.0067	0.1393
54205	CYCS	-4.7624	0.1416
1514	CTSL	-0.9436	0.148
79090	TRAPPC6A	-1.4065	0.1509
64429	ZDHHC6	-4.1612	0.154
60493	FASTKD5	-3.6946	0.1549
5110	PCMT1	-2.2103	0.1695
5300	PIN1	-0.9875	0.1806
56889	TM9SF3	-1.0008	0.1807
10058	ABCB6	-0.9173	0.1953
9817	KEAP1	-0.8734	0.2151
30836	DNTTIP2	-1.0499	0.2182
23585	TMEM50A	-2.5398	0.2184
6195	RPS6KA1	-2.8276	0.2544
51015	ISOC1	-1.0489	0.2774
581	BAX	-1.2456	0.3256
4609	MYC	-1.5828	0.3662
