signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_33249	NA	3162	HMOX1	10	7.2959e-6
LINCSCP_33249	NA	991	CDC20	-6.7471	1e-4
LINCSCP_33249	NA	8974	P4HA2	5.2331	2e-4
LINCSCP_33249	NA	54541	DDIT4	7.4605	2e-4
LINCSCP_33249	NA	8061	FOSL1	6.0636	4e-4
LINCSCP_33249	NA	2625	GATA3	-8.0442	4e-4
LINCSCP_33249	NA	10962	MLLT11	3.926	6e-4
LINCSCP_33249	NA	6603	SMARCD2	-3.7766	7e-4
LINCSCP_33249	NA	7296	TXNRD1	6.7993	9e-4
LINCSCP_33249	NA	994	CDC25B	-3.5241	0.0011
LINCSCP_33249	NA	8607	RUVBL1	-3.3053	0.0011
LINCSCP_33249	NA	11065	UBE2C	-3.0013	0.0013
LINCSCP_33249	NA	642	BLMH	2.996	0.0015
LINCSCP_33249	NA	2542	SLC37A4	-3.0753	0.0015
LINCSCP_33249	NA	11098	PRSS23	-4.0917	0.0016
LINCSCP_33249	NA	3385	ICAM3	-3.375	0.0017
LINCSCP_33249	NA	622	BDH1	-3.1894	0.0018
LINCSCP_33249	NA	55012	PPP2R3C	2.7832	0.0018
LINCSCP_33249	NA	54442	KCTD5	3.6361	0.0019
LINCSCP_33249	NA	4783	NFIL3	5.2873	0.0019
LINCSCP_33249	NA	25803	SPDEF	-7.8461	0.002
LINCSCP_33249	NA	63874	ABHD4	7.2288	0.002
LINCSCP_33249	NA	11007	CCDC85B	-2.9945	0.0021
LINCSCP_33249	NA	55793	FAM63A	-3.5465	0.0021
LINCSCP_33249	NA	25839	COG4	-3.5656	0.0026
LINCSCP_33249	NA	1759	DNM1	3.0273	0.0028
LINCSCP_33249	NA	3337	DNAJB1	7.1261	0.003
LINCSCP_33249	NA	51742	ARID4B	3.3857	0.0031
LINCSCP_33249	NA	85236	HIST1H2BK	4.9699	0.0031
LINCSCP_33249	NA	1647	GADD45A	4.352	0.0032
LINCSCP_33249	NA	26993	AKAP8L	3.412	0.0034
LINCSCP_33249	NA	8553	BHLHE40	2.2925	0.0037
LINCSCP_33249	NA	3312	HSPA8	2.639	0.0038
LINCSCP_33249	NA	2058	EPRS	2.2403	0.0039
LINCSCP_33249	NA	51422	PRKAG2	2.3916	0.0039
LINCSCP_33249	NA	5427	POLE2	-2.868	0.0042
LINCSCP_33249	NA	22809	ATF5	-6.5962	0.0043
LINCSCP_33249	NA	10670	RRAGA	-3.1693	0.0044
LINCSCP_33249	NA	890	CCNA2	-2.4662	0.0044
