perturbagen,treatment,cellline,similarity
Fluoxetine,IL6ST,A375,0.7982
Fluoxetine,REL,A375,0.63
Fluoxetine,NFKB1,A375,0.3052
Fluoxetine,TNF,A375,-0.5458
Fluoxetine,RELA,A375,-0.3984
Bupropion,RELB,A375,0.2647
Bupropion,REL,A375,0.5969
Bupropion,IL6,A375,0.3325
Bupropion,IL6R,A375,0.2929
Bupropion,TNF,A375,-0.6023
Bupropion,IL6ST,A375,0.5739
Bupropion,RELA,A375,0.5397
Bupropion,NFKB1,A375,0.2407
Paroxetine,TNF,A375,-0.5099
Paroxetine,RELA,A375,0.4339
Paroxetine,NFKB2,A375,0.2578
Paroxetine,IL6ST,A375,0.5803
Paroxetine,REL,A375,0.5243
Paroxetine,IL6R,A375,0.3138
Paroxetine,RELB,A375,0.3004
Paroxetine,IL6,A375,0.3141
Paroxetine,NFKB1,A375,0.3509
Dexamethasone,IL6,A375,0.2996
Dexamethasone,IL6ST,A375,0.6132
Dexamethasone,TNF,A375,0.6414
Dexamethasone,RELA,A375,0.4722
Dexamethasone,NFKB1,A375,0.4639
Dexamethasone,REL,A375,0.4887
Dexamethasone,IL6R,A375,0.3077
Dexamethasone,RELB,A375,0.2979
Chloroquine,IL6R,A375,0.273
Chloroquine,REL,A375,0.4342
Chloroquine,IL6,A375,0.3566
Chloroquine,TNF,A375,0.6003
Chloroquine,RELA,A375,0.5461
Chloroquine,IL6ST,A375,0.5546
Chloroquine,NFKB1,A375,0.4982
