perturbagen,treatment,cellline,similarity
Fluoxetine,NFKB2,HA1E,0.3725
Fluoxetine,RELA,HA1E,0.2964
Fluoxetine,IL6ST,HA1E,0.2262
Fluoxetine,IL6R,HA1E,0.2467
Fluoxetine,TNF,HA1E,-0.542
Fluoxetine,REL,HA1E,0.5173
Fluoxetine,IL6,HA1E,-0.5035
Bupropion,TNF,HA1E,-0.6122
Bupropion,IL6,HA1E,-0.5782
Bupropion,REL,HA1E,0.5584
Paroxetine,REL,HA1E,0.5744
Paroxetine,NFKB2,HA1E,0.4854
Paroxetine,IL6,HA1E,-0.4711
Paroxetine,TNF,HA1E,-0.41
Paroxetine,IL6ST,HA1E,0.3597
Paroxetine,RELA,HA1E,0.2724
Dexamethasone,REL,HA1E,0.5174
Dexamethasone,IL6,HA1E,-0.4933
Dexamethasone,NFKB1,HA1E,0.2979
Dexamethasone,TNF,HA1E,0.4232
Dexamethasone,NFKB2,HA1E,0.4302
Chloroquine,TNF,HA1E,0.5261
Chloroquine,IL6R,HA1E,0.362
Chloroquine,IL6,HA1E,0.4857
Chloroquine,NFKB1,HA1E,0.4148
Chloroquine,REL,HA1E,0.5145
