perturbagen,treatment,cellline,similarity
Fluoxetine,NFKB1,HEKTE,-0.301
Fluoxetine,NFKB2,HEKTE,-0.2388
Fluoxetine,SOCS3,HEKTE,0.4389
Fluoxetine,STAT1,HEKTE,-0.31
Fluoxetine,STAT6,HEKTE,-0.2648
Fluoxetine,REL,HEKTE,0.2918
Fluoxetine,TNF,HEKTE,0.2486
Fluoxetine,SOCS1,HEKTE,0.2425
Fluoxetine,IKBKE,HEKTE,-0.2666
Fluoxetine,STAT3,HEKTE,0.3599
Bupropion,STAT1,HEKTE,0.2958
Bupropion,SOCS1,HEKTE,0.3875
Bupropion,NFKB2,HEKTE,0.2907
Bupropion,RELA,HEKTE,0.2014
Bupropion,SOCS3,HEKTE,0.4845
Bupropion,TNF,HEKTE,0.2772
Bupropion,RELB,HEKTE,0.2517
Bupropion,STAT3,HEKTE,0.2141
Bupropion,REL,HEKTE,0.3943
Paroxetine,STAT6,HEKTE,0.5522
Paroxetine,TNF,HEKTE,0.4197
Paroxetine,SOCS1,HEKTE,0.286
Paroxetine,STAT1,HEKTE,0.305
Paroxetine,IKBKG,HEKTE,0.3043
Paroxetine,IKBKE,HEKTE,-0.3148
Paroxetine,NFKB1,HEKTE,0.2972
Paroxetine,REL,HEKTE,0.2639
Paroxetine,RELB,HEKTE,0.2646
Paroxetine,JAK2,HEKTE,0.2483
Paroxetine,RELA,HEKTE,0.2725
Paroxetine,NFKB2,HEKTE,0.3695
Paroxetine,SOCS3,HEKTE,0.3461
Dexamethasone,REL,HEKTE,0.206
Dexamethasone,STAT6,HEKTE,0.3719
Dexamethasone,NFKB2,HEKTE,0.247
Dexamethasone,SOCS1,HEKTE,0.3546
Dexamethasone,IKBKB,HEKTE,0.2656
Dexamethasone,STAT3,HEKTE,0.2333
Dexamethasone,IKBKE,HEKTE,0.3263
Dexamethasone,RELA,HEKTE,0.2857
Dexamethasone,STAT1,HEKTE,0.5407
Dexamethasone,NFKB1,HEKTE,0.4159
Dexamethasone,SOCS3,HEKTE,0.5115
Dexamethasone,TNF,HEKTE,0.3966
Dexamethasone,RELB,HEKTE,0.3163
Chloroquine,RELA,HEKTE,0.2673
Chloroquine,JAK2,HEKTE,0.5784
Chloroquine,STAT1,HEKTE,0.3913
Chloroquine,IKBKB,HEKTE,0.243
Chloroquine,IKBKE,HEKTE,0.4332
Chloroquine,TNF,HEKTE,0.5862
Chloroquine,STAT6,HEKTE,0.5199
Chloroquine,SOCS1,HEKTE,0.518
Chloroquine,REL,HEKTE,0.4454
Chloroquine,NFKB1,HEKTE,0.4547
Chloroquine,SOCS3,HEKTE,0.3959
Pyrrolidine Dithiocarbamate,STAT3,HEKTE,0.2696
Pyrrolidine Dithiocarbamate,STAT1,HEKTE,0.2348
Pyrrolidine Dithiocarbamate,RELA,HEKTE,0.2275
Rolipram,NFKB2,HEKTE,0.3389
Rolipram,STAT1,HEKTE,0.4175
Rolipram,IKBKG,HEKTE,0.3598
Rolipram,SOCS3,HEKTE,-0.4651
Rolipram,SOCS1,HEKTE,0.3827
Rolipram,JAK2,HEKTE,0.3464
Rolipram,RELB,HEKTE,0.3044
Rolipram,TNF,HEKTE,0.5263
Rolipram,STAT3,HEKTE,0.2782
Rolipram,REL,HEKTE,-0.2023
Rolipram,NFKB1,HEKTE,0.2412
Rolipram,RELA,HEKTE,0.311
