perturbagen,treatment,cellline,similarity
Fluoxetine,IL6,HEPG2,-0.3577
Fluoxetine,IL6R,HEPG2,-0.2299
Fluoxetine,TNF,HEPG2,-0.3515
Fluoxetine,SOCS1,HEPG2,0.5095
Fluoxetine,STAT3,HEPG2,0.3521
Fluoxetine,STAT6,HEPG2,0.3288
Fluoxetine,JAK1,HEPG2,0.6384
Fluoxetine,SOCS2,HEPG2,0.3021
Fluoxetine,IKBKE,HEPG2,0.6193
Fluoxetine,IL6ST,HEPG2,0.6139
Fluoxetine,NFKB1,HEPG2,0.2485
Fluoxetine,RELB,HEPG2,0.2968
Fluoxetine,IKBKB,HEPG2,0.4909
Fluoxetine,STAT4,HEPG2,0.3775
Fluoxetine,NFKB2,HEPG2,0.3672
Fluoxetine,IKBKAP,HEPG2,0.3488
Fluoxetine,IKBKG,HEPG2,0.3482
Fluoxetine,STAT5A,HEPG2,0.3297
Fluoxetine,JAK2,HEPG2,0.3274
Fluoxetine,STAT1,HEPG2,0.3189
Fluoxetine,STAT5B,HEPG2,0.4442
Bupropion,IKBKB,HEPG2,0.4509
Bupropion,STAT1,HEPG2,0.4311
Bupropion,STAT5A,HEPG2,0.3169
Bupropion,STAT5B,HEPG2,0.2488
Bupropion,NFKB1,HEPG2,0.2547
Bupropion,IKBKE,HEPG2,0.5852
Bupropion,IL6R,HEPG2,0.3464
Bupropion,RELB,HEPG2,0.2491
Bupropion,SOCS1,HEPG2,-0.5879
Bupropion,TNF,HEPG2,0.3441
Bupropion,JAK1,HEPG2,0.6382
Bupropion,REL,HEPG2,0.5932
Bupropion,IL6ST,HEPG2,0.5435
Bupropion,IKBKAP,HEPG2,0.351
Bupropion,STAT4,HEPG2,0.4886
Bupropion,STAT3,HEPG2,0.4681
Paroxetine,IKBKE,HEPG2,0.5309
Paroxetine,JAK1,HEPG2,0.5034
Paroxetine,STAT5B,HEPG2,0.4348
Paroxetine,IL6,HEPG2,-0.3255
Paroxetine,TNF,HEPG2,0.3587
Paroxetine,STAT1,HEPG2,0.4355
Paroxetine,JAK2,HEPG2,0.3281
Paroxetine,STAT4,HEPG2,0.3246
Paroxetine,STAT5A,HEPG2,0.2969
Paroxetine,NFKB2,HEPG2,0.3824
Paroxetine,REL,HEPG2,0.4218
Paroxetine,STAT3,HEPG2,0.3635
Paroxetine,RELB,HEPG2,0.3524
Paroxetine,NFKB1,HEPG2,0.2615
Paroxetine,IL6ST,HEPG2,0.5148
Paroxetine,IKBKB,HEPG2,0.4807
Paroxetine,IKBKAP,HEPG2,0.4077
Paroxetine,SOCS2,HEPG2,0.3398
Paroxetine,IKBKG,HEPG2,0.2849
Paroxetine,STAT6,HEPG2,0.2136
Paroxetine,SOCS1,HEPG2,0.477
Paroxetine,RELA,HEPG2,0.2696
Paroxetine,JAK3,HEPG2,0.2624
Dexamethasone,IL6,HEPG2,0.2345
Dexamethasone,TNF,HEPG2,0.2295
Dexamethasone,IKBKAP,HEPG2,0.3055
Dexamethasone,REL,HEPG2,0.4085
Dexamethasone,IKBKB,HEPG2,0.4417
Dexamethasone,SOCS2,HEPG2,-0.3105
Dexamethasone,STAT3,HEPG2,-0.389
Dexamethasone,JAK2,HEPG2,0.3453
Dexamethasone,STAT5A,HEPG2,0.3656
Dexamethasone,NFKB2,HEPG2,0.332
Dexamethasone,IL6R,HEPG2,0.2424
Dexamethasone,STAT1,HEPG2,0.3347
Dexamethasone,NFKB1,HEPG2,0.5461
Dexamethasone,RELA,HEPG2,0.4691
Dexamethasone,IL6ST,HEPG2,0.5558
Dexamethasone,RELB,HEPG2,0.3945
Dexamethasone,IKBKE,HEPG2,0.6068
Dexamethasone,JAK1,HEPG2,0.5894
Dexamethasone,SOCS1,HEPG2,0.5062
Dexamethasone,STAT4,HEPG2,0.3173
Dexamethasone,STAT6,HEPG2,0.3008
Dexamethasone,STAT5B,HEPG2,0.4161
Chloroquine,JAK2,HEPG2,0.4153
Chloroquine,STAT6,HEPG2,0.3385
Chloroquine,TNF,HEPG2,0.3328
Chloroquine,JAK1,HEPG2,0.6446
Chloroquine,REL,HEPG2,0.4567
Chloroquine,STAT5A,HEPG2,0.5233
Chloroquine,NFKB2,HEPG2,0.273
Chloroquine,RELB,HEPG2,0.343
Chloroquine,STAT1,HEPG2,0.4005
Chloroquine,STAT3,HEPG2,0.4223
Chloroquine,IKBKB,HEPG2,0.4621
Chloroquine,STAT5B,HEPG2,0.516
Chloroquine,IKBKE,HEPG2,0.6159
Chloroquine,IL6ST,HEPG2,0.5324
Chloroquine,STAT4,HEPG2,0.4833
Chloroquine,RELA,HEPG2,0.4118
Chloroquine,NFKB1,HEPG2,0.3447
Chloroquine,IKBKAP,HEPG2,0.4346
Chloroquine,SOCS1,HEPG2,0.5611
Chloroquine,IL6R,HEPG2,0.2633
Pyrrolidine Dithiocarbamate,JAK3,HEPG2,0.2831
Pyrrolidine Dithiocarbamate,IL6ST,HEPG2,-0.4344
Pyrrolidine Dithiocarbamate,STAT3,HEPG2,0.4069
Pyrrolidine Dithiocarbamate,JAK2,HEPG2,-0.3961
Pyrrolidine Dithiocarbamate,STAT5B,HEPG2,0.2406
Pyrrolidine Dithiocarbamate,IKBKE,HEPG2,-0.3976
Pyrrolidine Dithiocarbamate,STAT6,HEPG2,0.3899
Pyrrolidine Dithiocarbamate,TNF,HEPG2,0.3761
Pyrrolidine Dithiocarbamate,STAT1,HEPG2,0.3665
Pyrrolidine Dithiocarbamate,REL,HEPG2,0.2647
Pyrrolidine Dithiocarbamate,JAK1,HEPG2,0.289
Pyrrolidine Dithiocarbamate,SOCS1,HEPG2,0.4011
Rolipram,IKBKAP,HEPG2,0.301
Rolipram,SOCS2,HEPG2,0.2909
Rolipram,NFKB2,HEPG2,0.275
Rolipram,RELA,HEPG2,0.316
Rolipram,SOCS1,HEPG2,0.6202
Rolipram,STAT3,HEPG2,0.5012
Rolipram,STAT4,HEPG2,0.4406
Rolipram,IKBKE,HEPG2,0.5934
Rolipram,IL6ST,HEPG2,0.4926
Rolipram,STAT1,HEPG2,0.4193
Rolipram,NFKB1,HEPG2,0.4736
Rolipram,IL6,HEPG2,0.4341
Rolipram,TNF,HEPG2,0.3804
Rolipram,RELB,HEPG2,0.3375
Rolipram,IL6R,HEPG2,0.2929
Rolipram,STAT5A,HEPG2,0.5255
Rolipram,REL,HEPG2,0.2639
Rolipram,STAT6,HEPG2,0.4962
Rolipram,JAK2,HEPG2,0.3836
Rolipram,JAK1,HEPG2,0.5336
Rolipram,STAT5B,HEPG2,0.2397
Rolipram,IKBKB,HEPG2,0.4127
