perturbagen,treatment,cellline,similarity
Fluoxetine,REL,HT29,0.3278
Fluoxetine,NFKB1,HT29,0.3218
Fluoxetine,IL6,HT29,0.2422
Bupropion,REL,HT29,0.3195
Bupropion,NFKB2,HT29,0.2924
Bupropion,IL6,HT29,0.2724
Bupropion,NFKB1,HT29,0.3434
Paroxetine,IL6,HT29,-0.3142
Paroxetine,NFKB2,HT29,0.3876
Paroxetine,REL,HT29,0.397
Paroxetine,IL6ST,HT29,0.389
Paroxetine,NFKB1,HT29,0.2672
Dexamethasone,NFKB2,HT29,0.3125
Dexamethasone,IL6ST,HT29,0.4013
Dexamethasone,REL,HT29,0.5338
Dexamethasone,IL6,HT29,0.5156
Dexamethasone,NFKB1,HT29,0.3148
Chloroquine,REL,HT29,0.495
Chloroquine,IL6,HT29,0.492
Chloroquine,IL6ST,HT29,0.3386
Chloroquine,NFKB2,HT29,0.519
Chloroquine,NFKB1,HT29,0.2399
