perturbagen,cellline,similarity
Bupropion,A375,0.268
Rolipram,A375,0.2819
Dexamethasone,A375,0.3295
Fluoxetine,A375,0.3682
Pyrrolidine Dithiocarbamate,A375,0.4691
Paroxetine,A375,0.4814
Bupropion,A549,0.2452
Pyrrolidine Dithiocarbamate,A549,0.3284
Fluoxetine,A549,0.3494
Dexamethasone,A549,0.3823
Chloroquine,A549,0.5052
Paroxetine,A549,0.5308
Fluoxetine,ASC,0.2912
Dexamethasone,ASC,0.3173
Bupropion,ASC,0.3468
Paroxetine,ASC,0.3572
Chloroquine,ASC,0.4404
Pyrrolidine Dithiocarbamate,ASC,0.4743
Rolipram,ASC,0.4764
Paroxetine,HA1E,0.208
Dexamethasone,HA1E,0.276
Bupropion,HA1E,0.3029
Chloroquine,HA1E,0.3127
Pyrrolidine Dithiocarbamate,HA1E,0.3251
Rolipram,HA1E,0.3915
Chloroquine,HCC515,-0.3241
Pyrrolidine Dithiocarbamate,HCC515,0.3022
Rolipram,HCC515,0.3319
Paroxetine,HCC515,0.4006
Fluoxetine,HCC515,0.5889
Rolipram,HEPG2,0.301
Dexamethasone,HEPG2,0.3055
Fluoxetine,HEPG2,0.3488
Bupropion,HEPG2,0.351
Paroxetine,HEPG2,0.4077
Chloroquine,HEPG2,0.4346
Bupropion,HT29,-0.2823
Rolipram,HT29,0.2776
Fluoxetine,HT29,0.3861
Paroxetine,HT29,0.3969
Chloroquine,HT29,0.4387
Dexamethasone,HT29,0.457
Pyrrolidine Dithiocarbamate,HT29,0.5886
Chloroquine,MCF7,-0.3187
Bupropion,MCF7,0.2003
Rolipram,MCF7,0.229
Dexamethasone,MCF7,0.2791
Paroxetine,MCF7,0.2819
Fluoxetine,MCF7,0.3392
Dexamethasone,NPC,-0.4633
Paroxetine,NPC,0.3209
Pyrrolidine Dithiocarbamate,NPC,0.396
Fluoxetine,NPC,0.482
Dexamethasone,PC3,0.249
Fluoxetine,PC3,0.3169
Pyrrolidine Dithiocarbamate,PC3,0.3832
Fluoxetine,SKL,-0.4566
Chloroquine,SKL,-0.3963
Paroxetine,SKL,-0.3699
Rolipram,SKL,0.2613
Bupropion,SKL,0.4152
Pyrrolidine Dithiocarbamate,SKL,0.4274
Dexamethasone,SKL,0.5219
Fluoxetine,VCAP,-0.5096
Paroxetine,VCAP,0.4542
Bupropion,VCAP,0.5505
Rolipram,VCAP,0.5564
Pyrrolidine Dithiocarbamate,VCAP,0.5721
Chloroquine,VCAP,0.621
Dexamethasone,VCAP,0.6378
