perturbagen,cellline,similarity
Chloroquine,A375,0.273
Bupropion,A375,0.2929
Dexamethasone,A375,0.3077
Paroxetine,A375,0.3138
Dexamethasone,A549,-0.3164
Fluoxetine,A549,0.2416
Pyrrolidine Dithiocarbamate,A549,0.3759
Paroxetine,A549,0.3768
Chloroquine,A549,0.4013
Rolipram,A549,0.4523
Bupropion,A549,0.4798
Fluoxetine,HA1E,0.3433
Paroxetine,HA1E,0.3787
Dexamethasone,HA1E,0.4703
Pyrrolidine Dithiocarbamate,HA1E,0.4747
Rolipram,HA1E,0.4825
Bupropion,HA1E,0.5459
Chloroquine,HA1E,0.5543
Fluoxetine,HEPG2,-0.2299
Dexamethasone,HEPG2,0.2424
Chloroquine,HEPG2,0.2633
Rolipram,HEPG2,0.2929
Bupropion,HEPG2,0.3464
Pyrrolidine Dithiocarbamate,MCF7,-0.2873
Dexamethasone,MCF7,0.2058
Bupropion,MCF7,0.2325
Chloroquine,MCF7,0.2593
Paroxetine,MCF7,0.2657
Rolipram,MCF7,0.2669
Fluoxetine,MCF7,0.3467
Chloroquine,PC3,0.3648
Paroxetine,PC3,0.4248
Rolipram,PC3,0.4927
Dexamethasone,PC3,0.5286
Fluoxetine,PC3,0.5352
Bupropion,PC3,0.5525
