perturbagen,cellline,similarity
Rolipram,A375,0.273
Paroxetine,A375,0.2836
Bupropion,A375,0.289
Dexamethasone,A375,0.3282
Fluoxetine,A375,0.3532
Fluoxetine,A549,-0.3285
Dexamethasone,A549,0.2503
Paroxetine,A549,0.3089
Rolipram,A549,0.3542
Chloroquine,A549,0.3774
Fluoxetine,HA1E,-0.5135
Paroxetine,HA1E,-0.3429
Pyrrolidine Dithiocarbamate,HA1E,0.405
Rolipram,HA1E,0.438
Bupropion,HA1E,0.5645
Chloroquine,HA1E,0.5652
Dexamethasone,HA1E,0.574
Chloroquine,HCC515,-0.4487
Pyrrolidine Dithiocarbamate,HCC515,-0.3952
Paroxetine,HCC515,0.4509
Rolipram,HCC515,0.5005
Fluoxetine,HCC515,0.5351
Bupropion,HCC515,0.5721
Dexamethasone,HCC515,0.6294
Bupropion,HT29,0.2318
Paroxetine,HT29,0.3486
Fluoxetine,HT29,0.3843
Dexamethasone,HT29,0.6058
Chloroquine,HT29,0.635
Rolipram,HT29,0.6631
Fluoxetine,MCF7,-0.2981
Dexamethasone,MCF7,0.2032
Pyrrolidine Dithiocarbamate,MCF7,0.2131
Paroxetine,MCF7,0.317
Chloroquine,MCF7,0.3453
Rolipram,MCF7,0.3724
Bupropion,PC3,0.2478
Paroxetine,PC3,0.2852
Fluoxetine,PC3,0.3398
Dexamethasone,PC3,0.3752
Rolipram,PC3,0.448
Chloroquine,PC3,0.5267
Paroxetine,VCAP,-0.2784
Bupropion,VCAP,0.2032
Rolipram,VCAP,0.3268
Chloroquine,VCAP,0.3802
Dexamethasone,VCAP,0.3895
