similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
0.4243	2.8084e-10	203	STAT4	CGS001-6775	96 h	LINCSKD_20630	HT29	LINCSCP_265311
0.3733	4.1237e-8	203	STAT1	CGS001-6772	96 h	LINCSKD_14479	HEKTE	LINCSCP_265311
0.3542	2.175e-7	203	IL6	CGS001-3569	96 h	LINCSKD_19255	HT29	LINCSCP_265311
0.3424	5.7318e-7	203	IKBKB	CGS001-3551	96 h	LINCSKD_9569	HA1E	LINCSCP_265311
0.3408	6.4984e-7	203	IKBKB	CGS001-3551	96 h	LINCSKD_5137	A549	LINCSCP_265311
-0.322	2.7949e-6	203	JAK2	CGS001-3717	96 h	LINCSKD_29813	SW480	LINCSCP_265311
0.3091	7.196e-6	203	STAT6	CGS001-6778	96 h	LINCSKD_6670	A549	LINCSCP_265311
0.3036	0	203	JAK2	CGS001-3717	96 h	LINCSKD_5224	A549	LINCSCP_265311
0.2896	0	203	IKBKB	CGS001-3551	96 h	LINCSKD_12702	HCC515	LINCSCP_265311
-0.275	1e-4	203	JAK3	CGS001-3718	96 h	LINCSKD_1614	A375	LINCSCP_265311
0.2711	1e-4	203	STAT1	CGS001-6772	96 h	LINCSKD_7927	ASC	LINCSCP_265311
0.2647	1e-4	203	IKBKG	CGS001-8517	96 h	LINCSKD_36700	PC3	LINCSCP_265311
0.2641	1e-4	203	SOCS5	CGS001-9655	96 h	LINCSKD_28777	PC3	LINCSCP_265311
0.2621	2e-4	203	STAT3	CGS001-6774	96 h	LINCSKD_6666	A549	LINCSCP_265311
0.2612	2e-4	203	TNF	CGS001-7124	96 h	LINCSKD_28936	PC3	LINCSCP_265311
0.2577	2e-4	203	JAK2	CGS001-3717	120 h	LINCSKD_31400	VCAP	LINCSCP_265311
-0.2543	3e-4	203	IKBKG	CGS001-8517	96 h	LINCSKD_29803	SW480	LINCSCP_265311
0.2517	3e-4	203	STAT2	CGS001-6773	96 h	LINCSKD_24216	MCF7	LINCSCP_265311
0.2508	3e-4	203	IKBKG	CGS001-8517	96 h	LINCSKD_7606	ASC	LINCSCP_265311
0.2507	3e-4	203	STAT2	CGS001-6773	96 h	LINCSKD_28825	PC3	LINCSCP_265311
0.2494	3e-4	203	STAT3	CGS001-6774	96 h	LINCSKD_3064	A375	LINCSCP_265311
0.247	4e-4	203	JAK1	CGS001-3716	96 h	LINCSKD_5223	A549	LINCSCP_265311
0.2462	4e-4	203	IKBKB	CGS001-3551	96 h	LINCSKD_19225	HT29	LINCSCP_265311
0.2439	5e-4	203	SOCS1	CGS001-8651	96 h	LINCSKD_14473	HEKTE	LINCSCP_265311
0.2414	5e-4	203	SOCS5	CGS001-9655	96 h	LINCSKD_2998	A375	LINCSCP_265311
0.2406	5e-4	203	RELA	CGS001-5970	96 h	LINCSKD_29887	SW480	LINCSCP_265311
0.2354	7e-4	203	STAT6	CGS001-6778	96 h	LINCSKD_3068	A375	LINCSCP_265311
0.2291	0.001	203	SOCS5	CGS001-9655	96 h	LINCSKD_13717	HCC515	LINCSCP_265311
-0.228	0.0011	203	IL6R	CGS001-3570	96 h	LINCSKD_1544	A375	LINCSCP_265311
-0.2275	0.0011	203	NFKB2	CGS001-4791	96 h	LINCSKD_29847	SW480	LINCSCP_265311
0.2265	0.0012	203	STAT3	CGS001-6774	96 h	LINCSKD_28826	PC3	LINCSCP_265311
0.2255	0.0012	203	SOCS4	CGS001-122809	96 h	LINCSKD_28776	PC3	LINCSCP_265311
0.2209	0.0015	203	STAT3	CGS001-6774	120 h	LINCSKD_32810	VCAP	LINCSCP_265311
0.2208	0.0015	203	IL6ST	CGS001-3572	96 h	LINCSKD_1545	A375	LINCSCP_265311
0.2194	0.0017	203	JAK3	CGS001-3718	96 h	LINCSKD_5225	A549	LINCSCP_265311
0.2149	0.0021	203	TNF	CGS001-7124	96 h	LINCSKD_14496	HEKTE	LINCSCP_265311
0.2122	0.0024	203	NFKB1	CGS001-4790	96 h	LINCSKD_29846	SW480	LINCSCP_265311
0.209	0.0028	203	NFKB2	CGS001-4791	96 h	LINCSKD_5655	A549	LINCSCP_265311
0.2068	0.0031	203	IKBKG	CGS001-8517	96 h	LINCSKD_1516	A375	LINCSCP_265311
-0.2061	0.0032	203	REL	CGS001-5966	120 h	LINCSKD_32448	VCAP	LINCSCP_265311
0.2061	0.0032	203	STAT1	CGS001-6772	144 h	LINCSKD_26429	PC3	LINCSCP_265311
